# 4-bit Tensor ISA Binary Microcode Dump
# Format: ADDRESS: OPCODE | BINARY
# From Ahmad Ali Parr — SNAPKITTYWEST Sovereign Stack
# Addresses 0000-031F: Base ISA microcode
# Addresses 0320-055F: Systolic-specialized microcode
# Addresses 0800+: Extended WS/OS/TC microcode

0000: 00000000 | 00000000000000000000000000000000
0001: 00010001 | 00000000000000010000000000000001
0002: 00020002 | 00000000000000100000000000000010
0003: 00030003 | 00000000000000110000000000000011
0004: 00040004 | 00000000000001000000000000000100
0005: 00050005 | 00000000000001010000000000000101
0006: 00060006 | 00000000000001100000000000000110
0007: 00070007 | 00000000000001110000000000000111
0008: 00080008 | 00000000000010000000000000001000
0009: 00090009 | 00000000000010010000000000001001
000A: 000A000A | 00000000000010100000000000001010
000B: 000B000B | 00000000000010110000000000001011
000C: 000C000C | 00000000000011000000000000001100
000D: 000D000D | 00000000000011010000000000001101
000E: 000E000E | 00000000000011100000000000001110
000F: 000F000F | 00000000000011110000000000001111
0010: 00100010 | 00000000000100000000000000010000
0011: 00110011 | 00000000000100010000000000010001
0012: 00120012 | 00000000000100100000000000010010
0013: 00130013 | 00000000000100110000000000010011
0014: 00140014 | 00000000000101000000000000010100
0015: 00150015 | 00000000000101010000000000010101
0016: 00160016 | 00000000000101100000000000010110
0017: 00170017 | 00000000000101110000000000010111
0018: 00180018 | 00000000000110000000000000011000
0019: 00190019 | 00000000000110010000000000011001
001A: 001A001A | 00000000000110100000000000011010
001B: 001B001B | 00000000000110110000000000011011
001C: 001C001C | 00000000000111000000000000011100
001D: 001D001D | 00000000000111010000000000011101
001E: 001E001E | 00000000000111100000000000011110
001F: 001F001F | 00000000000111110000000000011111
0020: 00200020 | 00000000001000000000000000100000
0021: 00210021 | 00000000001000010000000000100001
0022: 00220022 | 00000000001000100000000000100010
0023: 00230023 | 00000000001000110000000000100011
0024: 00240024 | 00000000001001000000000000100100
0025: 00250025 | 00000000001001010000000000100101
0026: 00260026 | 00000000001001100000000000100110
0027: 00270027 | 00000000001001110000000000100111
0028: 00280028 | 00000000001010000000000000101000
0029: 00290029 | 00000000001010010000000000101001
